genome,strain_name,name,species
GCF_001435425.1,DSM 20004,Lactobacillus coryniformis subsp. torquens,Lactobacillus coryniformis
GCF_001435445.1,DSM 13961,Lactobacillus kimchii,Lactobacillus kimchii
GCF_001435405.1,DSM 20021,Lactobacillus rhamnosus,Lactobacillus rhamnosus
GCF_001435395.1,DSM 20605,Lactobacillus vini,Lactobacillus vini
GCF_001435815.1,DSM 16982,Lactobacillus nantensis,Lactobacillus nantensis
GCF_001435795.1,DSM 15996,Lactobacillus delbrueckii subsp. indicus,Lactobacillus delbrueckii
GCF_001435775.1,DSM 15946,Lactobacillus ingluviei,Lactobacillus ingluviei
GCF_001435755.1,DSM 15836,Lactobacillus acidipiscis,Lactobacillus acidipiscis
GCF_001435735.1,DSM 15833,Lactobacillus equi,Lactobacillus equi
GCF_001435715.1,DSM 15831,Lactobacillus sakei subsp. carnosus,Lactobacillus sakei
GCF_001435695.1,DSM 15354,Lactobacillus psittaci,Lactobacillus psittaci
GCF_001435655.1,DSM 10667,Lactobacillus paraplantarum,Lactobacillus paraplantarum
GCF_001435665.1,DSM 11664,Lactobacillus amylolyticus,Lactobacillus amylolyticus
GCF_001435585.1,DSM 12744,Lactobacillus perolens,Lactobacillus perolens
GCF_001436025.1,DSM 13345,Lactobacillus mucosae,Lactobacillus mucosae
GCF_001436015.1,DSM 20452,Lactobacillus murinus,Lactobacillus murinus
GCF_001435995.1,DSM 23829,Lactobacillus ozensis,Lactobacillus ozensis
